Taxa	FT00104	FT00109	FT00114	FT00128	FT00149	FT00174	FT00177	FT00182	FT00189	FT00202	FT00220	FT00231	FT00303	FT00311	FT00385	FT00400	ST00001	ST00003	ST00005	ST00006	ST00008	ST00009	ST00015	ST00016	ST00017	ST00018	ST00019	ST00021	ST00023	ST00026	ST00027	ST00028	ST00030	ST00031	ST00035	ST00039	ST00040	ST00041	ST00042	ST00044	ST00045	ST00046	ST00047	ST00050	ST00051	ST00053	ST00054	ST00056	ST00057	ST00059	ST00060	ST00062	ST00063	ST00064	ST00065	ST00067	ST00070	ST00075	ST00077	ST00078	ST00081	ST00082	ST00083	ST00084	ST00085	ST00088	ST00091	ST00092	ST00094	ST00100	ST00101	ST00112	ST00123	ST00132	ST00142	ST00143	ST00146	ST00162	ST00176	ST00184	ST00190	ST00203	ST00205	ST00207	ST00208	ST00219	ST00223	ST00226	ST00227	ST00234	ST00242	ST00259	ST00263	ST00266	ST00278	ST00281	ST00305	ST00338	ST00348	ST00379	ST00382	ST00383	ST00384	ST00386	ST00387	ST00395	ST00411	ST00412	ST00415	ST00420	ST00422	ST00425	ST00465	ST00480	ST00541	SW00001	SW00003	SW00004	SW00006	SW00007	SW00018	SW00021	SW00027	SW00028	SW00032	SW00035	SW00041	SW00106	SW00109	SW00115	SW00116	SW00127	SW00148	SW00172	SW00176	SW00183	SW00197	SW00213	SW00224	SW00295	SW00303	SW00378	SW00395
Anaeromyxobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	2	0	0	5	1	0	0	0	0	0	1	4	0	1	0	0	0	1	1	1	0	1	0	3	0	0	1	3	1	1	0	2	7	1	0	0	0	0	1	1	7	2	1	2	1	1	1	3	0	0	0	1	2	0	0	5	17	2	0	4	1	0	2	1	2	16	0	8	2	6	3	4	1	7	0	2	0	1	2	4	11	3	0	0	1	0	0	1	0	2	0	2	0	1	0	1	0	0	0	0	0	0	3	2	6	1	2	4	0	2	2	0	0	3	0	0	2	0
Herpetosiphonaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0	0	3	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	2	0	0	0	0	0	4	1	1	0	0	1	0	3	1	0	0	0	2	2	0	1	0	7	14	1	0	3	6	0	1	1	2	7	0	22	2	2	4	4	0	2	0	3	0	0	11	0	3	2	0	1	0	2	0	0	0	3	0	1	0	0	0	1	0	1	0	2	0	0	5	5	4	0	1	4	0	0	2	0	0	5	1	0	1	0
Tsukamurellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piscirickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	4	0	0	1	0	0	1	1	0	4	9	0	0	0	6	0	0	1	0	8	0	4	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	4	0	0	0	1	0	0	0
Kofleriaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	9	0	4	6	0	0	1	0	1	0	0	1	5	0	10	0	3	0	3	1	8	2	0	0	0	2	1	11	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	1	0	1	4	0	0	1	2
Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	1	3	0	5	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	2	0	0	0	0	1
Nocardiopsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	3	1	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	0	2	1	2	0	0	1	3	0	0	0	0	0	3	0	1	3	0	1	14	0	0	4	0	0	3	0	0	4	0	4	0	2	1	0	1	1	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	4	1	0	0	0	1
Catenulisporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	1	0	0	3	0	0	0	0	0	3	1	2	0	2	0	0	0	1	0	0	0	0	2	2	5	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	2	0	0	0	1	0	1	0
Chromobacteriaceae	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	2	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	4	1	1	0	0	4	0	2	1	0	2	1	0	4	0	2	0	0	0	1	2	0	7	1	1	2	0	4	0	1	0	1	5	1	6	2	1	4	2	0	3	1	1	0	1	6	0	8	0	0	0	1	0	0	3	1	3	1	1	0	0	0	1	0	2	0	2	0	0	3	2	2	0	1	6	0	0	2	0	1	1	2	0	2	0
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	1	0	2	1	7	1	3	1	5	5	1	1	2	1	2	1	1	2	1	1	0	4	2	3	2	3	0	4	2	1	2	6	1	1	0	6	9	3	4	0	1	3	7	2	6	3	0	14	1	1	14	3	1	4	3	0	3	4	0	11	17	2	0	18	8	3	2	3	3	23	0	19	2	13	9	17	2	21	3	3	1	1	6	0	15	2	0	14	3	5	1	2	0	11	0	2	1	1	6	1	1	2	0	1	0	0	9	7	9	0	1	20	0	1	8	2	6	11	8	1	6	0
Vibrionaceae	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	2	2	2	3	3	0	0	1	4	2	0	0	1	1	8	1	0	0	3	9	0	2	0	1	2	0	4	2	2	4	0	4	3	0	4	7	1	4	5	3	4	2	2	5	3	0	4	3	4	2	7	1	3	1	0	3	2	3	1	4	9	4	3	2	3	2	0	1	4	3	0	6	2	8	8	4	0	7	1	0	0	1	2	3	7	3	0	2	0	1	1	1	2	2	2	2	2	0	5	1	0	2	0	0	0	2	4	3	4	0	5	4	0	6	5	1	0	5	1	0	0	1
Geodermatophilaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	4	0	1	0	0	1	0	1	1	0	2	0	1	0	0	0	1	0	0	1	0	1	2	0	3	0	3	0	0	1	3	0	0	0	0	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0
Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	1	0	3	2	3	0	0	0	2	0	2	2	0	4	0	0	0	2	1	1	3	2	0	0	0	0	0	1	0	0	0	0	6	0	5	0	2	0	3	1	11	1	1	4	1	0	2	2	2	1	3	2	3	19	0	5	13	0	0	2	5	0	1	1	1	9	0	12	0	7	4	6	0	7	1	3	0	0	10	2	14	0	0	0	0	1	0	1	0	5	0	2	0	0	3	0	0	0	0	0	0	0	4	1	3	2	0	8	0	2	0	3	0	2	0	0	1	1
Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4	5	1	5	0	0	0	8	7	0	4	4	2	1	2	2	1	0	2	7	2	3	0	0	0	7	0	1	2	1	1	5	0	1	2	3	0	2	0	5	6	2	7	4	1	3	10	2	12	3	3	10	5	6	11	1	1	1	3	5	9	4	0	13	42	4	0	28	3	2	3	2	4	10	0	23	1	8	5	14	4	16	3	3	0	0	10	4	14	3	1	10	0	8	2	4	3	17	0	2	1	1	3	2	0	1	0	3	0	0	6	10	8	0	1	8	1	3	4	0	7	10	4	1	4	1
Bacillaceae	23	8	13	29	4	9	17	15	26	5	4	18	7	16	11	15	2	6	60	2	2	11	11	7	55	102	2	16	52	105	11	8	39	7	11	14	21	12	71	31	20	0	44	5	14	11	208	14	60	8	15	18	16	7	15	1304	21	148	56	31	36	24	2	51	34	157	24	75	73	14	55	16	61	28	25	12	53	50	47	5	30	56	48	47	35	28	13	14	12	31	44	264	42	9	36	23	12	28	46	68	20	338	738	313	11	33	20	8	13	1138	14	6	13	30	516	136	209	367	65	319	143	854	13	517	819	1577	191	202	109	111	88	85	118	114	989	153	361	114	108	75	489	79	853
Veillonellaceae	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	15	6	67	6	8	7	0	5	7	31	3	15	68	9	5	622	21	47	16	1000	10	15	15	3	1	0	11	24	9	25	2	7	7	5	2	55	6	13	95	0	99	396	4	29	10	15	3	26	14	13	4	159	21	70	5	20	31	5	2	13	20	4	247	5	31	57	60	11	25	24	13	17	7	13	109	6	54	6	139	11	20	1	28	42	18	1	2	94	18	13	13	7	108	3	20	14	11	25	9	2	6	1	3	10	5	0	451	0	2	22	5	12	10	12	77	9	125	0	3	6	16	11	18	68	26	2	2
Sanguibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0
