Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Clostridium	2.78490803253924	3.01676206832587	9.70824985700615e-06	0.623231548724529	1.27594116977852e-09	4.2920683578343e-05	0.976688707624044	2.32997952742165e-09
Eggerthella	1.5176708478884	1.61113894710764	0.180155718790292	0.946580337025072	4.61607165738801e-12	0.302661607567691	0.976688707624044	1.07708338672387e-11
Listeria	0.188522850114075	0.226194473856817	0.359668218023085	0.0751240969206927	0.070789730429589	0.487292424418374	0.706673465180189	0.0772251604686425
Lactococcus	1.0362243916395	0.723863719995763	0.000892755257286646	0.00529937774993085	0.000204160050194571	0.00335476756084144	0.148382576998064	0.000290668546039729
Desulfovibrio	1.26105897296379	1.03943202770662	0.00662541296012295	0.769955304374774	1.68022172934296e-25	0.0173917090203227	0.976688707624044	8.30227207440051e-25
Rothia	0.424211677318361	0.239460016754858	0.00145951407815927	0.746956149016429	3.24499666542071e-09	0.0050991337094666	0.976688707624044	5.3447003901047e-09
Candidatus_Endolissoclinum	0.172279641273422	0.175908455825421	0.900985655407506	0.370272657135272	0.0323779002107953	0.911840904267837	0.942512218162511	0.0357861002329843
Halothiobacillus	0.735388397323887	0.687544321076835	0.489507078449214	0.482660375581863	4.08649733055996e-09	0.613592474626861	0.944792645168123	6.60126491859686e-09
Methylocella	0.58815204261809	0.507358031725874	0.129281904299413	0.0011733117416141	1.2261772535002e-05	0.23607999915545	0.0985581862955847	1.80699805778976e-05
Prevotella	2.60451914262238	3.11124556734459	1.65066428889239e-09	0.250631826716323	4.94271309929723e-27	9.90398573335437e-09	0.942512218162511	2.96562785957834e-26
Faecalitalea	1.27923076185888	1.39733196409849	0.133599014221293	0.872758206920051	5.86503032668415e-27	0.238772706267842	0.976688707624044	3.28441698294313e-26
Flavobacterium	0.328522149447363	0.358984095140326	0.506611951359863	0.543300376411425	4.39341358482952e-17	0.616744984264181	0.944792645168123	1.36683978194696e-16
Bacillus	1.45576580683968	1.67955935720811	0.00160283488256076	0.62317166445338	3.65235571268895e-19	0.00517838962058092	0.976688707624044	1.22719151946349e-18
Blautia	4.01412991599077	4.00224710578085	0.728489820231766	0.0186541417420331	4.34283694251099e-07	0.78045475638309	0.391736976582696	6.88298685228157e-07
Beutenbergia	0.185907273868325	0.168316726780917	0.626083333477598	0.834445285163232	0.893470814538192	0.72042465770025	0.976688707624044	0.904235523147086
Bacteroides	4.48489009188782	4.45964704558932	0.308694572670299	0.44840990397245	1.0459116735106e-12	0.454918317619388	0.944792645168123	2.74551814296531e-12
Megasphaera	0.406551302556416	0.582594473508075	0.0106967161623631	0.646421797210446	2.48522248112546e-25	0.0264271811070147	0.976688707624044	1.15977049119188e-24
Adlercreutzia	1.69640794547529	1.13768511077917	2.03622069265206e-12	0.659359000568628	1.78035280605565e-20	1.71042538182773e-11	0.976688707624044	6.23123482119477e-20
Geobacillus	1.83752816126576	3.18502943362384	2.13777608150416e-30	0.596954222697713	0.0238782548557932	5.98577302821166e-29	0.976688707624044	0.0267436454384884
Campylobacter	0.311274109888708	1.46381509702471	1.65644986482515e-24	0.259220884419526	6.6938441505625e-06	2.78283577290625e-23	0.942512218162511	1.02233256117682e-05
Acholeplasma	0.767664844622881	0.697623873003849	0.322111410443947	0.394964322764165	4.25209361178678e-30	0.466506180642958	0.944792645168123	4.46469829237612e-29
