Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Histophilus	0.307493167085305	0.309	0.526434556230399	0.404	0.379467094933615	0.415	0.0343	0.00868	0.712	0.354	0.101	0.354	0.0372641975308642	0.0865345454545455	0.750965174129353	0.410098360655738	0.85648	0.37524	0.062	0.133
Magnetospirillum	0.192269838234629	0.257	0.18700559623365	0.309	0.0704053671341408	0.192	0.00179	0.995	0.199	0.333	0.275	0.00579	0.00250031746031746	1	0.231802197802198	0.390033149171271	0.936061538461538	0.00870553191489362	0.091	0.295
Zymomonas	0.118266947187916	0.213	0.156498216949118	0.304	0	0	0.0163	0.702	0.123	0.0678	0.358	0.0711	0.0183897435897436	1	0.154295857988166	0.100514685314685	0.936061538461538	0.0876348837209302	0.057	0.206
Riemerella	0.650269293689658	0.565	0.430030518061632	0.539	0.0769805627656952	0.308	5.94e-07	0.141	0.000374	0.0963	0.532	5.66e-12	2.04988235294118e-06	0.524421052631579	0.00129980327868852	0.131713548387097	0.936061538461538	3.99973333333333e-10	0.127	0.639
Agrobacterium	0.21483553599774	0.261	0.159309621295769	0.254	0.0447182510934897	0.179	4.81e-05	0.561	0.0359	0.319	0.488	0.000159	9.30285714285714e-05	1	0.0604031746031746	0.377810055865922	0.936061538461538	0.000416148148148148	0.127	0.407
Ferrimonas	0.160372466365425	0.237	0.213146595833419	0.297	0.0319317746779573	0.128	0.00261	0.565	0.123	0.047	0.733	0.00288	0.00353343511450382	1	0.154295857988166	0.0790793650793651	0.96738947368421	0.00462545454545455	0.075	0.271
Desulfurivibrio	0.20688905165119	0.282	0.0914182689829899	0.203	0	0	5.43e-06	0.0867	0.00797	0.483	0.611	0.000493	1.38504347826087e-05	0.427451162790698	0.0179748936170213	0.525107692307692	0.937414965986395	0.00103481188118812	0.161	0.403
Geobacillus	1.17242015627366	0.506	2.35666398089063	0.539	1.52669737111006	0.346	<2e-16	1.41e-14	0.0229	9.17e-07	0.0424	1	NA	2.3426e-12	0.0441035714285714	4.8601e-06	0.776246153846154	1	0.48	0.48
Acholeplasma	0.207259208965791	0.289	0.307504956081335	0.36	0	0	1.84e-05	0.243	0.0241	0.00266	0.955	0.00745	4.048e-05	0.757588235294118	0.0447965217391304	0.00762054054054054	0.991746341463415	0.0108178082191781	0.132	0.323
Streptococcus	2.02051791971195	0.651	2.49995861502097	0.544	0.51212482149933	0.659	<2e-16	0.00164	4.34e-14	3.08e-14	0.832	0.0705	NA	0.0185221052631579	3.68032e-13	3.97811764705882e-13	0.96738947368421	0.0874035087719298	0.426	0.528
Paracoccus	0.196063079336013	0.294	0.146385007379072	0.286	0	0	2.56e-05	0.68	0.0257	0.214	0.397	0.000416	5.23906976744186e-05	1	0.0461728813559322	0.271664670658683	0.936061538461538	0.000899918367346939	0.143	0.372
Dehalobacter	0.106684710616478	0.187	0.169155797283624	0.335	0.0365637223661819	0.146	0.0921	0.385	0.468	0.138	0.591	0.385	0.0970634730538922	0.972705882352941	0.5088	0.181714285714286	0.937414965986395	0.406069651741294	0.034	0.089
Slackia	0.533588017180163	0.449	0.477444567821255	0.465	0.0514736936843547	0.206	2.21e-11	0.818	0.000188	0.00596	0.718	8.05e-07	2.04715789473684e-10	1	0.000690827586206897	0.0154087804878049	0.96738947368421	4.49105263157895e-06	0.268	0.58
Fibrella	0.338762178458121	0.346	0.303277336216992	0.462	0	0	6.13e-07	0.887	0.00156	0.0197	0.849	0.000291	2.07476923076923e-06	1	0.00472457142857143	0.040547572815534	0.96738947368421	0.000689582417582418	0.178	0.406
Sphaerochaeta	0.168892075927747	0.233	0.266292089353831	0.415	0.512087964572434	0.42	0.00158	0.29	0.000127	0.0276	0.836	0.257	0.00222464	0.830810810810811	0.000508	0.0527135135135135	0.96738947368421	0.280845360824742	0.091	0.153
Frankia	0.20362329964169	0.296	0.213875108168162	0.372	0	0	3.86e-07	0.986	0.0323	0.0598	0.277	7.98e-06	1.38644897959184e-06	1	0.0552225806451613	0.0946089552238806	0.936061538461538	3.38352e-05	0.179	0.46
Emticicia	0.159237422803652	0.259	0.102126554107225	0.207	0.0632716296419076	0.174	0.0272	0.515	0.309	0.866	0.417	0.0107	0.0301081761006289	1	0.348446808510638	0.891223300970874	0.936061538461538	0.0154312925170068	0.055	0.239
Chlorobium	0.302433096686165	0.288	0.217416809847122	0.346	0.0813746587491984	0.224	9.7e-05	0.373	0.017	0.308	0.64	0.0187	0.000177833333333333	0.972705882352941	0.0343238095238095	0.366831460674157	0.937414965986395	0.0262543046357616	0.129	0.296
Capnocytophaga	0.188811127370221	0.281	0.189113816377157	0.352	0	0	0.000171	1	0.0373	0.0854	0.548	0.000318	0.000295058823529412	1	0.061778125	0.119899337748344	0.936061538461538	0.000717191489361702	0.111	0.347
Xanthomonas	0.228202226273242	0.276	0.302808373519094	0.327	0.187703983032827	0.296	0.161	0.448	0.86	0.411	0.114	0.127	0.167668639053254	1	0.876538461538461	0.461015873015873	0.888108108108108	0.147125683060109	0.039	0.149
