Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	2.59981192717284	2.48604994226694	1.0416302943759	3.95505725016403e-19	0.584720799958296	2.16493489801906e-14	8.04911692853238e-14	0.143538166980715	0.000110896611302703	2.53123664010498e-18	0.998815044225214	1.3855583347322e-13	6.43929354282591e-13	0.78612636546922	0.000394299062409612
Chloroflexi	0.443324011523535	0.498884927882885	0	5.85467658066939e-05	0.773412129372693	8.26720689248717e-05	0.000143854656590947	0.507275866320084	1.64148095799437e-06	0.0002081662784238	0.998815044225214	0.000293945133955099	0.000575418626363788	0.927755723485905	6.56592383197747e-06
Ignavibacteriae	0.0918758585538533	0.0489139674965936	0	0.112431372599215	0.489002736256638	0.13063874382765	0.647958458926712	0.495159947530564	0.0826311076309924	0.156426257529343	0.998815044225214	0.20902199012424	0.738571105239932	0.927755723485905	0.110174810174656
Chlorobi	0.619395859629698	0.431678616676056	0.0813746587491984	5.54057631544163e-06	0.0779371568919025	5.8588870383014e-06	0.0169142412057343	0.611722910229037	7.99016821166957e-08	2.53283488705903e-05	0.439949931156691	3.12473975376074e-05	0.038661122755964	0.927755723485905	5.11370765546853e-07
Nitrospirae	0.065486413032568	0.127284542910306	0	0.0603528861225379	0.222353038006797	0.342858679490514	0.0533794996791381	0.881556981159337	0.000141449938305743	0.0965646177960606	0.790588579579723	0.421979913219094	0.106758999358276	0.927755723485905	0.000452639802578376
Dictyoglomi	0.0471821190756038	0.0122238649330132	0	0.199453069187617	0.378230811571303	0.327623326806514	0.945524786501923	0.821900250920235	0.543871514030831	0.25529992856015	0.998815044225214	0.419357858312338	0.976025586066501	0.927755723485905	0.621567444606663
Planctomycetes	0.423871634193167	0.439640845380436	0.0352537561027599	0.000344024195489081	0.977177506571485	0.000293068970214527	0.00134738515343291	0.834860211407586	3.4598876932545e-08	0.0010007976596046	0.998815044225214	0.000852564276987716	0.00431163249098532	0.927755723485905	3.6905468728048e-07
Chrysiogenetes	0.101668369992943	0.230455378442459	0	0.00138333038446276	0.0126883558115745	0.171159733063588	0.00167680697739658	0.0927928873022123	0.000616104600276323	0.00316189802162917	0.135342461990128	0.260814831334991	0.00487798393424461	0.770471258923593	0.00151656516991095
Fibrobacteres	0.100536310684077	0.110122697573074	0	0.104381379757814	0.967086111421005	0.10360819055266	0.133168894381306	0.245664489209131	0.0056708171722773	0.151827461465911	0.998815044225214	0.181881429226255	0.236744701122322	0.78612636546922	0.0100814527507152
Caldiserica	0.0089009288888475	0.0123489501932742	0	0.764434251908055	0.952622903864014	0.815658353837189	0.748530298552957	0.632911187320311	0.999960935528135	0.764434251908055	0.998815044225214	0.837976107563976	0.798432318456487	0.927755723485905	0.999960935528135
