Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Clostridiaceae_noname	0	0.19400648996165	0	0.130248143747083	0.113436069748244	1	0.35773036088329	0.316298780596684	0.999847019189657	0.239656584494633	0.680563233741384	1	0.914199811146187	0.601984694770294	0.999847019189657
Bilophila	0.320365331750216	0.177054709483501	0	0.0224445526106574	0.828713806402649	0.554396112220922	0.874716805177277	0.725776182549534	0.000279889898634657	0.06452808875564	0.999816050731035	1	1	0.981932482272899	0.00107291127809952
Anaeroglobus	0.0642968963488333	0.206781160494941	0	0.447682084504436	0.623097172112499	0.940761307067653	0.628256138758614	0.127229339111679	0.00790616896592211	0.624041693551638	0.999816050731035	1	1	0.601984694770294	0.0181841886216209
Sutterellaceae_unclassified	0.0488279215365346	0	0	0.893304291585918	0.840863838101798	0.896322156039649	1	0.285050780975186	0.549803437682475	0.893415465825035	0.999816050731035	1	1	0.601984694770294	0.758605920452634
Klebsiella	0.326811170556751	0.236087359878522	0	0.120599391969076	0.944493183591516	0.627801234406419	0.835144500187393	0.269284068226348	1.85369634698785e-08	0.231148834607397	0.999816050731035	1	1	0.601984694770294	2.13175079903603e-07
Oscillibacter	0.696549124949475	0.518715131708265	0	0.0418420326063045	0.871527866137308	0.268682450158064	0.580822613892758	0.544402148667974	0.0749504500866268	0.101301763152106	0.999816050731035	1	1	0.840216981860032	0.143655029332701
Lachnospiraceae_noname	0.405356095657055	1.24683252356199	0	0.0165599718600234	0.0454256455493411	0.627681697199369	0.0422576642143131	0.117335949490774	0.426188399923468	0.0507839137040718	0.417915939053938	1	0.249902250257787	0.601984694770294	0.677563677208601
Flavonifractor	0.106740487418317	0	0	0.217139826883963	0.706800856349165	0.803089446165665	1	0.978038246634437	0.00408674335493807	0.356729715595082	0.999816050731035	1	1	0.998728996343096	0.0104438996848417
Streptococcus	0.358938784875249	0	0	0.417732976575511	0.340517407385528	0.505217272909223	1	0.298926098053015	0.0012537167929726	0.600491153827298	0.999816050731035	1	1	0.601984694770294	0.00360443577979622
Escherichia	0.944060437419666	2.76719140910299	0.90537975918789	0.00375425978576827	0.00243997856398304	0.998180924985149	0.0488939185286975	0.148697997965912	0.000661578745098344	0.0215307337801844	0.0561195069716098	1	0.249902250257787	0.601984694770294	0.00234097094419414
