MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS77	0.190431302935788	0.999650706612861	0.650992953692843
MDS78	0.18764818288076	0.999650706612861	0.0954959185639554
MDS79	0.186649313739159	0.999650706612861	0.635093077341798
MDS80	0.185452719585198	0.999650706612861	0.0346114305101068
MDS81	0.182276374496088	0.999650706612861	0.0653595235696009
MDS82	0.180423805211212	0.999650706612861	0.547233340458835
MDS83	0.175467854054459	0.999650706612861	0.124059712865159
MDS84	0.174899498515805	0.999650706612861	0.0948972960011832
MDS85	0.171863273119946	0.999650706612861	0.464461252556639
MDS86	0.1700169750355	0.999650706612861	0.100552039295587
MDS87	0.16951317853799	0.999650706612861	0.594368626092826
MDS88	0.167466134567417	0.999650706612861	0.493507338501068
MDS89	0.164937561522217	0.999650706612861	1
MDS90	0.163140318262256	0.999650706612861	1
MDS91	0.159152332688397	0.999650706612861	0.100552039295587
MDS92	0.15822953359654	0.999650706612861	0.00941563771645934
MDS93	0.157283239108941	0.999650706612861	0.338007493384836
MDS94	0.15422134575516	0.999650706612861	0.493507338501068
MDS95	0.150161496932391	0.999650706612861	0.170146345608744
MDS96	0.14950023249751	0.999650706612861	1
MDS97	0.148788919886876	0.999650706612861	0.100400962016562
MDS98	0.146306909001189	0.999650706612861	0.828455834429046
MDS99	0.145225141567828	0.999650706612861	0.828455834429046
MDS100	0.143447117631418	0.999650706612861	0.768523338246138
MDS101	0.142009825849062	0.999650706612861	0.84966683187453
MDS102	0.138917964174896	0.999650706612861	0.828455834429046
MDS103	0.136536992721499	0.999650706612861	1
MDS104	0.135243959583142	0.999650706612861	0.211803195206084
MDS105	0.133703135041481	0.999650706612861	0.877694247459671
MDS106	0.131754451877994	0.999650706612861	0.926232998565323
MDS107	0.128638265044309	0.999650706612861	0.588350178683192
MDS108	0.126822534603477	0.999650706612861	0.84966683187453
MDS109	0.125507949393547	0.999650706612861	1
MDS110	0.123645835032316	0.999650706612861	0.650992953692843
MDS111	0.121686292783365	0.999650706612861	0.886316205325942
MDS112	0.121484948632052	0.999650706612861	0.926232998565323
MDS113	0.118354629916163	0.999650706612861	0.828455834429046
MDS114	0.115224523193319	0.999650706612861	1
MDS115	0.114794676302902	0.999650706612861	0.828455834429046
MDS116	0.113871668284697	0.999650706612861	0.370210126529651
MDS117	0.110503389853289	0.999650706612861	1
MDS118	0.109027104257187	0.999650706612861	1
MDS119	0.107941921695111	0.999650706612861	1
MDS120	0.107890439719776	0.999650706612861	0.926232998565323
MDS121	0.104423006225982	0.999650706612861	1
MDS122	0.103576617098683	0.999650706612861	1
MDS123	0.10325994299902	0.999650706612861	0.828455834429046
MDS124	0.100235810559662	0.999650706612861	0.926232998565323
MDS125	0.098090083950661	0.999650706612861	1
MDS126	0.0974433831265513	0.999650706612861	1
MDS127	0.0954382573322078	0.999650706612861	1
MDS128	0.0915155335014114	0.999650706612861	0.828455834429046
MDS129	0.0878110165225864	0.999650706612861	1
MDS130	0.0866328963717983	0.999650706612861	1
MDS131	0.0839857118512157	0.999650706612861	1
MDS132	0.0825557769290233	0.999650706612861	1
MDS133	0.0809340172179429	0.999650706612861	1
MDS134	0.0790226708965408	0.999650706612861	1
MDS135	0.077106084968335	0.999650706612861	1
MDS136	0.0722563793313166	0.999650706612861	1
MDS137	0.0699475067016079	0.999650706612861	1
MDS138	0.0675992499454993	0.999650706612861	1
MDS139	0.0598407444464667	0.999650706612861	1
MDS140	0.0582189665246931	0.999650706612861	1
MDS141	0.0545163517584419	0.999650706612861	1
