Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Chloroflexi	0.443	0.377	0.499	0.478	0	0	5.85467658066939e-05	0.773412129372693	8.26720689248717e-05	0.000143854656590947	0.507275866320084	1.64148095799437e-06	0.000143114316416363	0.976992279847995	0.000202087279594131	0.000395600305625105	0.89876335712697	4.51407263448451e-06
Chlorobi	0.619	0.394	0.432	0.493	0.081	0.224	5.54057631544163e-06	0.0779371568919025	5.8588870383014e-06	0.0169142412057343	0.611722910229037	7.99016821166957e-08	1.74132398485308e-05	0.302465577670225	2.14825858071051e-05	0.0265795218947253	0.89876335712697	3.51567401313461e-07
Planctomycetes	0.424	0.36	0.44	0.431	0.035	0.141	0.000344024195489081	0.977177506571485	0.000293068970214527	0.00134738515343291	0.834860211407586	3.4598876932545e-08	0.000688048390978163	0.998815044225214	0.000586137940429055	0.00296424733755241	0.89876335712697	2.5372509750533e-07
Chrysiogenetes	0.102	0.201	0.23	0.288	0	0	0.00138333038446276	0.0126883558115745	0.171159733063588	0.00167680697739658	0.0927928873022123	0.000616104600276323	0.00217380488987005	0.0930479426182127	0.198184954073628	0.00335361395479317	0.52969899050997	0.00112952510050659
Fusobacteria	0.357	0.381	0.516	0.539	0.044	0.177	0.00108559186415243	0.153834854462325	0.0112771570243088	0.000668114678857301	0.0701939750824668	0.00429694256896345	0.0018371554624118	0.423045849771395	0.0190844195795994	0.00163316921498451	0.52969899050997	0.00630218243447973
Synergistetes	0.4	0.35	0.396	0.45	0.05	0.201	0.00174040805512248	0.998815044225214	0.00128073385896532	0.00738140101569285	0.883922154460532	7.47172315036483e-08	0.0025525984808463	0.998815044225214	0.00234801207476976	0.0124916017188648	0.89876335712697	3.51567401313461e-07
Thermodesulfobacteria	0.19	0.236	0.137	0.224	0.045	0.179	0.0477932022306285	0.511568626840392	0.0470742934574132	0.396435663654283	0.0381127056562175	0.845955536647388	0.0553394973196751	0.971007523796615	0.0609196738860642	0.436079230019712	0.52969899050997	0.886239133630597
Acidobacteria	0.466	0.371	0.39	0.498	0	0	6.5072517185842e-05	0.616425366370334	3.50240571223015e-05	0.00389905957124415	0.713837680173953	2.31638548577748e-08	0.000143159537808852	0.971007523796615	9.63161570863291e-05	0.00714827588061427	0.89876335712697	2.5372509750533e-07
Unclassified	2.76	0.128	2.704	0.167	2.163	0.111	1.16891669330173e-33	0.124561418261362	1.66533453693773e-15	1.88737914186277e-15	0.0963089073654491	0.115635149978127	1.2858083626319e-32	0.391478743107138	1.22124532708767e-14	1.54691074764438e-14	0.52969899050997	0.127198664975939
Deferribacteres	0.138	0.211	0.1	0.178	0	0	0.0286334928616296	0.617913878779664	0.023754242487157	0.230420756996118	0.530285761133665	0.0121839060389821	0.0370551084091678	0.971007523796615	0.0373280953369609	0.281625369661922	0.89876335712697	0.0167528708036004
Spirochaetes	0.941	0.379	1.127	0.492	0.876	0.37	0.0636127825238821	0.0824906120918796	0.824457953538854	0.120446302347993	0.69307046499272	2.36183724263347e-07	0.0699740607762703	0.302465577670225	0.824457953538854	0.165613665728491	0.89876335712697	8.66006988965607e-07
Aquificae	0.152	0.235	0.121	0.242	0	0	0.0436540528027154	0.799357319875632	0.0339024209358718	0.19640595051569	0.241885521015162	0.0136610668507367	0.0533549534255411	0.976992279847995	0.0466158287868237	0.254172406549716	0.665185182791694	0.0176790276891886
