MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS95	0.019861029351991	0.999920750278029	0.466970923541088
MDS96	0.0186757893299965	0.999920750278029	0.804215854630275
MDS97	0.0182693249958378	0.999920750278029	0.964082987780179
MDS98	0.0175821193834916	0.999920750278029	0.882335618871121
MDS99	0.0162620007837498	0.999920750278029	0.817591464185718
MDS100	0.0155139700280777	0.999920750278029	0.76959493518362
MDS101	0.0153332844954814	0.999920750278029	0.865072276070122
MDS102	0.0144953020864078	0.999920750278029	0.958489067847381
MDS103	0.0142598405662349	0.999920750278029	0.882335618871121
MDS104	0.0139693790792517	0.999920750278029	0.995016885646035
MDS105	0.0130549607504071	0.999920750278029	0.466970923541088
MDS106	0.0124811565917091	0.999920750278029	0.982862578679098
MDS107	0.0115890066270652	0.999920750278029	0.804215854630275
