Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Beijerinckia	0.329734282701483	0.299622451160381	0.634509444428302	0.171643659589425	0.382399297018392	0.000362598652836196	0.774956074281241	0.543120398874209	0.949135961454365	0.000469469834724759
Bifidobacterium	0.418649936119476	0.251914854967878	0.0132395154431658	0.0959549187883351	0.923590583570385	1.86018165614938e-10	0.0354013130328129	0.472098200438609	0.986762647559996	3.36474034862315e-10
Bilophila	1.58099714561204	1.63872217926408	0.655927354566205	0.00617126114443108	0.596773176936166	7.0512411813599e-30	0.782651464579956	0.0967903539215636	0.949135961454365	3.94228484230576e-29
Blautia	3.63324024394781	3.56945610670353	0.231394755765779	0.136234961487502	0.0769585347878959	0.0740920218679076	0.384615607556632	0.527791211772251	0.889462235481201	0.0836084283463545
Brevibacillus	0.0657081497598035	0.34912889543191	3.26934754231029e-06	0.223171589864959	0.0773391903118208	0.628110593412344	1.43617767037202e-05	0.551591668897696	0.889462235481201	0.628110593412344
Butyricicoccus	2.61535369468612	2.56101188380677	0.340797672517635	0.0213013372853313	0.162088258968484	2.92497980151678e-05	0.517507576786038	0.201543422007366	0.889462235481201	3.99747239540627e-05
Butyricimonas	1.49701779484318	1.48726665732674	0.940024001251406	0.462598082383047	0.705572658371618	4.00103134366797e-37	0.963524601282691	0.800318199558058	0.949135961454365	3.78559119439354e-36
Butyrivibrio	0.82555608447535	0.722334150241498	0.256375035518229	0.0820422771552924	0.692356451740419	1.09293008772604e-15	0.410964572339487	0.420466670420874	0.949135961454365	2.8602212934107e-15
Campylobacter	0.32950304864665	1.47907681779838	8.08916265543226e-20	0.962416066549538	0.454489274883708	8.94168934031496e-06	9.04515460561971e-19	0.988267439368715	0.949135961454365	1.32509372151655e-05
Catenibacterium	0.510249440584843	0.438385731554905	0.568259119158563	0.227974610030817	0.893481682843607	9.00158372756249e-32	0.743573102728758	0.551591668897696	0.986762647559996	6.15108221383437e-31
Cloacibacillus	0.273428371581441	0.239725484371872	0.668117103909719	0.223490170882573	0.676665545143825	1.99208384036459e-40	0.782651464579956	0.551591668897696	0.949135961454365	4.08377187274742e-39
Clostridium_IV	3.04322740362268	2.86377880926285	0.0193364456296917	0.891304778768991	0.91262604273939	2.71378974204995e-11	0.0466349571069035	0.96350745947665	0.986762647559996	5.13532520418684e-11
Clostridium_XI	1.89554320241655	1.66243353856716	0.0558301345791958	0.708791447226278	0.666695225872611	5.06863536021134e-16	0.120042832702102	0.90852293086516	0.949135961454365	1.35530902023042e-15
Clostridium_XIX	0.374162445197977	0.39037360915123	0.885238650213751	0.0289586703423122	0.468282793958379	9.45379833082883e-25	0.937382393063312	0.224643831441274	0.949135961454365	3.7510232086837e-24
Clostridium_XVIII	2.59945237148141	2.55853140265686	0.636346044735003	0.01530286639079	0.024138596413747	8.86659250722747e-11	0.774956074281241	0.156854380505597	0.889462235481201	1.65241042180148e-10
Clostridium_XlVa	3.18176696200234	3.38947018434444	0.0001552485589576	0.651816382210159	0.236617100899721	4.04658661780265e-18	0.000545587792908138	0.90082488777359	0.899784019464909	1.34521663240466e-17
Clostridium_XlVb	2.60144572086798	2.70104089058613	0.21706474298171	0.533012202424985	0.69679479887176	2.82151121044537e-15	0.365739224476033	0.821872210669906	0.949135961454365	7.08256895683225e-15
Clostridium_sensu_stricto	1.40900990633748	1.01423671695212	0.00548038665507038	0.0122761240564583	0.772023514121211	4.69237061377224e-17	0.0164411599652111	0.144498720788192	0.949588922369089	1.40771118413167e-16
Collinsella	2.23505581790905	2.07519167920314	0.261656309131688	0.753260880259488	0.986762647559996	2.11087251566511e-30	0.412611872092277	0.922861444570514	0.986762647559996	1.29818659713404e-29
Coprobacillus	1.30491285074121	1.61882862902154	0.0178763188169196	0.884191652294726	0.475968283383308	1.00150046566828e-16	0.0439757442896221	0.96350745947665	0.949135961454365	2.86475714598137e-16
Coprococcus	2.78904837242676	2.81027295735423	0.83956036776238	0.352111359379742	0.661994414428336	3.8459178828462e-26	0.911719706466752	0.698543503285618	0.949135961454365	1.68945678425029e-25
Corynebacterium	0.103614027669118	0.826396317487795	1.30852653134622e-14	0.694352132141527	0.966296426758249	0.308117906835134	1.23806741042758e-13	0.90852293086516	0.986762647559996	0.313210764799351
Desulfovibrio	0.875048503278932	0.760198493308532	0.385433050195429	0.265043263212046	0.763938700682782	3.96245768379321e-37	0.564384109214735	0.592733115910576	0.949135961454365	3.78559119439354e-36
Dialister	1.41353113373305	2.08995774766722	2.58787373381307e-05	0.00705075828320381	0.6668305168923	3.80535899554407e-19	0.000106102823086336	0.0967903539215636	0.949135961454365	1.30016432347756e-18
Dorea	3.1490425652361	2.90596540761489	3.76232934578556e-05	0.858475594354702	0.0436207076997025	1.59420030700288e-06	0.00014927951920375	0.96350745947665	0.889462235481201	2.5139312533507e-06
Eggerthella	1.59693607089767	1.60253252157459	0.956071479629114	0.000372229157036482	0.66908279816369	3.23890815163525e-13	0.963908131101484	0.0228920931577436	0.949135961454365	7.37751301205808e-13
Enterobacter	0.505797394137351	0.779301246202222	0.0220713728301762	0.323679928692575	0.513645880310952	2.12686357297591e-12	0.0512222426058806	0.65948514533017	0.949135961454365	4.58954771010592e-12
Enterococcus	0.293632974026433	0.383745430619817	0.321616986706112	0.19923927801151	0.581779332642994	1.35113080564664e-27	0.494486117060647	0.544587359898128	0.949135961454365	6.15515144794578e-27
Erysipelotrichaceae_incertae_sedis	2.14304769637542	2.32893144766975	0.0873802202798643	0.233193225875449	0.861040558914203	7.78997002953476e-28	0.176192903187267	0.551591668897696	0.986674408072212	3.68525505243375e-27
Escherichia_Shigella	1.00292601321304	1.82865669204822	1.1663581784282e-08	0.122724391754448	0.964569429254815	4.59736247207585e-13	5.9775856644445e-08	0.527791211772251	0.986762647559996	1.02813742557333e-12
Ethanoligenens	0.947630608220875	0.694689236402639	0.0117034218916609	0.527608976840293	0.694383586062948	9.7973042122031e-17	0.0319893531705397	0.821872210669906	0.949135961454365	2.86475714598137e-16
Eubacterium	0.379333964395374	0.305380927146853	0.310115257959737	0.179588032177075	0.451927424620358	1.91378970949164e-06	0.482837680114527	0.543120398874209	0.949135961454365	2.9424516783434e-06
Faecalibacterium	3.56926910444534	3.63047507830022	0.531665235229946	0.628808127152686	0.731494122158747	5.86937400522885e-37	0.72660915481426	0.895904124031332	0.949135961454365	4.81288668428766e-36
Finegoldia	0.303954790775887	2.07606397918028	7.10755783742215e-44	0.97637270550864	0.653003269284175	0.183945045268474	2.91409871334308e-42	0.988267439368715	0.949135961454365	0.193378124513012
Flavonifractor	2.67285890816768	2.66821362797069	0.948344850664489	0.423273697448447	0.970969699778521	1.04035636833943e-05	0.963908131101484	0.77705469830088	0.986762647559996	1.51435710555158e-05
Fusibacter	1.37931430664565	0.912820079380464	7.09705166698775e-05	0.363459523977459	0.0484301700287477	5.59079640216482e-29	0.000272792923449842	0.707243251765549	0.889462235481201	2.98986068463597e-28
Fusobacterium	0.344286721365976	0.991407279309348	5.23120933761972e-08	0.238236698523446	0.665523108034064	4.47065473119694e-08	2.5737549941089e-07	0.552888941856299	0.949135961454365	7.6373684991281e-08
Gemella	0.697846199179502	0.509131642930761	0.0566055633879832	0.867529515438685	0.759960532667568	0.246493759631344	0.120042832702102	0.96350745947665	0.949135961454365	0.254779264156768
Gemmiger	0.946804297648242	0.878488234535147	0.554745271365104	0.13789940950386	0.59552087064492	2.5792118414798e-40	0.743573102728758	0.527791211772251	0.949135961454365	4.5320436643145e-39
Geobacillus	1.63249010042072	3.11963274647841	9.01417365795189e-35	0.988267439368715	0.357379965197252	0.307240216066241	1.89947793793907e-33	0.988267439368715	0.949135961454365	0.313210764799351
