Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Listeria	0.193	0.239	0.173	0.256	0	0	0.00908917509557003	0.917717049895469	0.00628823914754439	0.0453612901491373	0.37978527223436	0.105200188020506	0.0163297044089902	0.999986120067965	0.0156836082268166	0.0776112482787515	0.992849071326454	0.123879485463302
Lactococcus	0.628	0.543	0.361	0.54	0	0	2.05475466142141e-05	0.0431855030730971	3.59932250350026e-05	0.0674894792949896	0.509336065758511	0.0459945833486987	7.78926772867427e-05	0.269380798579449	0.00016235241930682	0.100486276788872	0.992849071326454	0.0598211758891051
Rothia	0.406	0.478	0.353	0.601	0	0	0.00851862576350211	0.864806197410423	0.0058055950735143	0.052457744430059	0.500735712591548	6.48521669952448e-05	0.0156448451593183	0.999986120067965	0.0148287488624703	0.0868831392122852	0.992849071326454	0.000183315458706559
Achromobacter	0.161	0.238	0.235	0.312	0	0	0.00964238368125874	0.337655843326904	0.0390349345930141	0.00686923585234367	0.829781113737225	0.00213934253487089	0.0170348778368904	0.906114415003844	0.0636569702593768	0.0171326823611395	0.992849071326454	0.00371754604420188
Acidovorax	0.308	0.3	0.256	0.389	0	0	0.00124442017020966	0.709819634226817	0.000766191198378507	0.0223224918439888	0.833019729461479	0.0242682602930438	0.00317851898896924	0.999986120067965	0.00253800834462881	0.044986218547975	0.992849071326454	0.0336266090334986
Allochromatium	0.123	0.186	0.129	0.263	0	0	0.0576349272537655	0.990081691595553	0.0524924686434112	0.0911622768197583	0.7993838079576	0.289575868297828	0.0691274799193982	0.999986120067965	0.0800604557726847	0.125496121336291	0.992849071326454	0.314820943995587
Acetobacterium	0.143	0.2	0.142	0.247	0	0	0.0294595921905289	0.999954506713903	0.0242928720481225	0.0632470288473334	0.810141622576223	0.0769392266766226	0.0428925303817862	0.999986120067965	0.0447833815147997	0.0969174149156371	0.992849071326454	0.09320637745968
Pelobacter	0.239	0.31	0.294	0.364	0	0	0.00689145279193098	0.677686389700671	0.0118332694720517	0.00716650831519106	0.693884689137732	5.08623850218708e-05	0.0135166968584445	0.999986120067965	0.0245946385105387	0.0174632156646035	0.992849071326454	0.000148017441223927
Actinoplanes	0.181	0.259	0.185	0.301	0	0	0.0288421663475695	0.997638231957472	0.0246683526013248	0.0566737282389209	0.374960176006731	8.54040354226893e-05	0.0424620782339218	0.999986120067965	0.0450835409610419	0.0917162624935209	0.992849071326454	0.000232123788584745
Tistrella	0.104	0.191	0.184	0.319	0	0	0.0242031863372472	0.190892941738461	0.172602522517864	0.0187239156247911	0.957770464739983	0.0205279999385777	0.0358816468775973	0.626761211194884	0.205571543672962	0.0389163736515267	0.995687648170567	0.0286311578090689
Pedobacter	0.169	0.221	0.162	0.24	0	0	0.0129743030749785	0.987599651578603	0.0097411337716613	0.0407290455061198	0.0664049236991811	0.0761396687386722	0.0221818729991569	0.999986120067965	0.0212899006143525	0.0713599805561768	0.992849071326454	0.0927678722563132
