Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Caulobacteraceae	0.347434374320332	0.357	0.37066154490399	0.422	0	0	2.44e-15	0.949	0.00105	0.00293	0.95	3.16e-11	4.06666666666667e-14	1	0.00257352941176471	0.00763020833333333	0.996	7.9e-10	0.304	0.699
Leuconostocaceae	0.118963800493008	0.2	0.183479036366155	0.424	0.0854251348958115	0.237	0.277	0.487	0.884	0.461	0.572	0.0826	0.28265306122449	1	0.922916666666667	0.505482456140351	0.921875	0.0956018518518519	0.019	0.116
Porphyromonadaceae	3.2178169010675	0.508	2.99116278414635	0.765	1.06543617197111	0.661	<2e-16	0.17	1.67e-15	2.54e-14	0.834	4.97e-08	NA	0.67578125	2.953125e-14	3.5e-13	0.950657894736842	2.95833333333333e-07	0.631	0.797
Brucellaceae	0.130331558351542	0.203	0.166759555506455	0.325	0	0	0.0047	0.722	0.0765	0.0454	0.13	0.0339	0.0055952380952381	1	0.103940217391304	0.0683734939759036	0.740384615384615	0.0415441176470588	0.082	0.219
Lachnospiraceae	3.23148036134529	0.422	3.09028597526418	0.692	1.01319544179994	0.671	<2e-16	0.41	1.67e-15	2.11e-15	0.519	0.0359	NA	1	2.953125e-14	8.79166666666667e-14	0.921875	0.0435679611650485	0.672	0.73
Heliobacteriaceae	0.25744252103366	0.311	0.289573597746986	0.378	0	0	5.46e-07	0.878	0.00672	0.00915	0.352	7.04e-05	1.4e-06	1	0.0127272727272727	0.0175	0.861111111111111	0.000146666666666667	0.176	0.42
Desulfomicrobiaceae	0.180062418313784	0.268	0.22581947010834	0.263	0.0501713787930516	0.201	0.000449	0.69	0.156	0.0826	0.154	1.99e-05	0.000670149253731343	1	0.195	0.111021505376344	0.740384615384615	4.87745098039216e-05	0.1	0.373
Polyangiaceae	0.243847907196231	0.301	0.233488973160432	0.279	0.17249757202531	0.314	0.0127	0.986	0.65	0.792	0.525	0.000344	0.0142696629213483	1	0.712719298245614	0.804878048780488	0.921875	0.000605633802816901	0.06	0.312
Actinomycetaceae	0.384155616337614	0.294	0.893370432819352	0.856	0	0	1.3e-10	1.45e-06	0.00538	9.56e-09	0.706	0.0246	5.65217391304348e-10	4.53125e-05	0.0106746031746032	5.69047619047619e-08	0.94	0.0310606060606061	0.271	0.383
Acidobacteriaceae	0.392680114910984	0.361	0.363108595092894	0.476	0	0	3.72e-13	0.925	0.000352	0.0057	0.735	1.21e-09	2.86153846153846e-12	1	0.001	0.0125	0.94	1.5125e-08	0.282	0.641
