Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Coriobacteriaceae	2.253	0.559	1.986	0.659	0.632	0.504	1.78964217594474e-18	0.0774630311419827	2.38697950294409e-14	1.39332989590457e-11	0.0964689145228681	1.24946891792794e-05	1.72080978456225e-17	0.463911648166086	2.48643698223342e-13	1.16110824658714e-10	0.982493085830511	3.12367229481984e-05
Erysipelotrichaceae	1.642	0.458	1.576	0.618	0.319	0.468	4.43093964676068e-17	0.805556023123731	2.80886425230165e-14	7.34856619999391e-13	0.316029477166573	6.05983392802248e-05	3.46167159903178e-16	0.999576536022779	2.48874994686806e-13	7.06592903845568e-12	0.982493085830511	0.000128386312034375
Pseudomonadaceae	0.882	0.383	1.111	0.365	0.938	0.393	0.0207057267063029	0.0149652321479331	0.848388751777293	0.314114814999752	0.150054955393204	8.86280730824557e-08	0.0300955330033473	0.133618144177974	0.906398239078304	0.363558813657121	0.982493085830511	4.61604547304457e-07
Hydrogenophilaceae	0.135	0.233	0.137	0.295	0	0	0.093850728971795	0.999576536022779	0.0827338758820447	0.150749346247747	0.186378496108582	0.0065490834035558	0.106648269788161	0.999576536022779	0.110018451970804	0.192282329397637	0.982493085830511	0.00919815084769073
Geobacteraceae	0.597	0.408	0.614	0.455	0.13	0.289	0.000138850538667686	0.980554409965028	0.000115507460122344	0.000671078084323984	0.916365511982493	3.39630724999541e-09	0.000354210557825729	0.999576536022779	0.000343772202745071	0.00199725620334519	0.990997475587099	3.26568004807251e-08
Phycisphaeraceae	0.138	0.245	0.107	0.234	0	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.100668217167289	0.999576536022779	0.0967610095428059	0.351285818773998	0.982493085830511	0.00485063523552204
Pseudonocardiaceae	0.284	0.307	0.278	0.401	0.05	0.201	0.0254855296996546	0.995930609985315	0.0202049687089781	0.0624356284593901	0.988661424751196	1.18320647881306e-05	0.0362010365051911	0.999576536022779	0.0332318564292404	0.0894910752362536	0.99425665600923	3.0183838745231e-05
Streptococcaceae	2.053	0.65	2.509	0.543	0.512	0.659	6.3747726990374e-18	0.00285176121234432	3.34177130412172e-14	2.94209101525666e-14	0.820345427835196	0.0581076608868208	5.69176133842625e-17	0.0324063774130036	2.61075883134509e-13	3.49467929342237e-13	0.982493085830511	0.0678827814098373
Mycobacteriaceae	0.67	0.296	0.715	0.325	0.39	0.446	0.00318127673839053	0.78920108515024	0.00434694619753584	0.00441876933931928	0.350215655040674	0.0952033514345502	0.00576318249708429	0.999576536022779	0.00890767663429475	0.0104216258002813	0.982493085830511	0.108185626630171
Rickettsiaceae	0.189	0.226	0.226	0.278	0.308	0.429	0.23770505294985	0.792659919919692	0.222534138002971	0.586183066823871	0.979411064781586	0.302449011217034	0.253958389903686	0.999576536022779	0.267468915868955	0.626263960281913	0.99425665600923	0.328748925235906
Leptotrichiaceae	0.212	0.298	0.164	0.236	0	0	0.0151115717688002	0.68020774468982	0.0112833627828577	0.131590758148832	0.266692187529614	0.0181863145406161	0.0227583912180726	0.999576536022779	0.0198650753219325	0.169575719263959	0.982493085830511	0.023196829771194
Methylophilaceae	0.185	0.253	0.258	0.372	0	0	0.00878034219603993	0.408809927827241	0.028563682268796	0.00658901498798536	0.0807831156192041	0.00210172143550207	0.0142538022662986	0.999576536022779	0.0446307535449938	0.0142004633361754	0.982493085830511	0.00316524312575613
Desulfovibrionaceae	1.212	0.41	1.283	0.52	1.266	0.214	0.694874347933104	0.714639020945719	0.882906193298753	0.991388415615554	0.824349275806844	1.67147449544729e-13	0.694874347933104	0.999576536022779	0.923046897240026	0.991388415615554	0.982493085830511	1.04467155965456e-11
Desulfobulbaceae	0.313	0.325	0.264	0.362	0.045	0.179	0.00903613965216933	0.758861793077865	0.00626129659620822	0.0754775648751649	0.153598624665962	2.61224447799767e-05	0.0143816061638766	0.999576536022779	0.0120927675914315	0.103677973729622	0.982493085830511	6.04686221758719e-05
Oscillospiraceae	1.429	0.461	1.47	0.671	0.156	0.343	2.67002783239124e-16	0.921532738012926	2.98649993624167e-14	1.70419234279962e-13	0.513352971334023	3.09302301293239e-10	1.96325575911121e-15	0.999576536022779	2.48874994686806e-13	1.77520035708293e-12	0.982493085830511	4.83284845770686e-09
