Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Sphingobacteriales	0.512506243705856	0.55306639483389	0.418644218014935	0.884857640446509	2.71917734612881e-25	0.540186087761207	0.959740548079311	1.20852326494614e-24
Fibrobacterales	0.95511995192608	0.862729066927008	0.237860370073807	0.0294739779419964	1.36481195907761e-18	0.365939030882779	0.453577535416897	4.1994214125465e-18
Acholeplasmatales	0.800999617070096	0.7224079419221	0.262061282477974	0.405768131758712	2.28912170329942e-31	0.374373260682821	0.793157916995005	4.57824340659885e-30
Cytophagales	0.470295102844044	0.358724476667011	0.0337284012508833	0.16031714942876	1.33264135108213e-29	0.0674568025017667	0.641268597715041	1.33264135108213e-28
Bacteroidales	4.72421888361305	4.69827378818384	0.257226343504616	0.0857159445242868	0.00141696526710776	0.374373260682821	0.571439630161912	0.00171753365710032
Pasteurellales	0.558845653954536	0.533314847872636	0.772505116847828	0.342728895355979	5.95876999169377e-10	0.792312940356747	0.768516303318461	9.93128331948962e-10
Clostridiales	4.72850460493159	4.71488656251912	0.488849152736214	0.356780682646617	0.0492530981143285	0.592544427559047	0.768516303318461	0.0532465925560309
Flavobacteriales	2.50154093667583	2.12149767395365	3.34522620347758e-07	0.0340183151562673	1.4916651214348e-15	1.67261310173879e-06	0.453577535416897	3.50980028572895e-15
Actinomycetales	2.34544734304679	2.73623601586045	4.98848651507537e-11	0.29398224024932	3.00971126343568e-07	3.99078921206029e-10	0.768516303318461	4.45883150138619e-07
Acidobacteriales	0.235676110121705	0.149415563101498	0.000687697749286512	0.894651431246452	8.0574271155608e-31	0.00196485071224718	0.959740548079311	1.07432361540811e-29
Neisseriales	0.235004741093537	0.290267257042629	0.331330863623694	0.219709377552954	9.99709989297817e-11	0.441774484831592	0.732364591843178	1.73862606834403e-10
Rhodospirillales	0.28774474471759	0.31702555187682	0.522152054851742	0.911753520675345	0.00886006716160865	0.614296535119696	0.959740548079311	0.00984451906845405
Rhizobiales	1.07044905336166	0.942808938181996	0.048661817858558	0.00612272462027156	1.65614500544664e-06	0.0926891768734439	0.244908984810863	2.36592143635234e-06
Desulfurobacteriales	0.201650203650079	0.0754960061457844	3.23234846304104e-05	0.365045244076269	0.00531092896788483	0.000105619111720699	0.768516303318461	0.0060696331061541
Desulfovibrionales	1.3277457893117	1.13451412907951	0.0193017447464251	0.98929991776268	6.64278440270142e-24	0.040635252097737	0.98929991776268	2.4155579646187e-23
Selenomonadales	3.18290685908203	2.97201335155974	3.43262113092272e-05	0.958575369297395	1.82677655979001e-28	0.000105619111720699	0.983154224920405	1.46142124783201e-27
Rhodobacterales	0.587437080113089	0.620996180173211	0.601191491033732	0.179079170076751	7.85821979692419e-26	0.679349396900193	0.651196982097277	3.9291098984621e-25
Spirochaetales	0.296989659794876	0.54807796765093	1.9072016240049e-05	0.160128172739742	1.58895175082637e-15	6.93527863274509e-05	0.641268597715041	3.53100389072528e-15
Legionellales	0.401593901134664	0.481406387750098	0.112487731017541	0.676680495776701	1.00413132494282e-50	0.179980369628066	0.959740548079311	4.01652529977127e-49
Fusobacteriales	0.504206149229102	1.0683080964129	1.64225580158862e-10	0.1143273132681	2.35583297340809e-17	1.09483720105908e-09	0.630610948884641	6.73095135259456e-17
Chromatiales	0.737202923811013	0.689047896354289	0.487116726727775	0.495712131472519	4.25390250078197e-09	0.592544427559047	0.862108054734816	6.54446538581842e-09
Coriobacteriales	2.90822249526687	2.6200075214102	1.20289438344953e-05	0.68782858413897	0.00216764590396539	4.81157753379811e-05	0.959740548079311	0.00255017165172398
Verrucomicrobiales	1.5448029175026	1.19516111420473	0.00282870339118022	0.340441986132321	3.01068419654466e-15	0.00754320904314726	0.768516303318461	6.33828251904139e-15
Erysipelotrichales	1.28064240997276	1.40510273154432	0.109934704698181	0.776099333869442	2.89538602691726e-27	0.179980369628066	0.959740548079311	1.93025735127817e-26
Unclassified	4.17226504060795	4.1324665173184	0.0796830326432909	0.820455662686612	1.24479131062512e-16	0.138579187205723	0.959740548079311	3.11197827656279e-16
Caldilineales	0.243347143546335	0.134849230776117	0.0115754338601087	0.548001411584444	0.000237778364696993	0.0257231863557971	0.877628058341844	0.00030681079315741
Chlorobiales	0.295949555809314	0.403686442274186	0.0571852255456285	0.082964795239102	5.42675196987325e-26	0.103973137355688	0.571439630161912	3.10100112564185e-25
