Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU197890	0.305677242365735	0.205157385453079	0.0433952170554948	0.836087851964304	0.0016046871494524	0.217559877435171	0.998351084606317	0.00171187045141964
OTU304757	0.380466132534752	0.329217368914463	0.755961025692228	0.885059971427191	2.54702399747218e-31	0.999999461192889	0.998351084606317	7.03104402265159e-31
OTU4388820	0.38325959286846	0.797227403429647	3.18405928324812e-06	0.324847630315179	9.74438601173428e-14	4.39478799835974e-05	0.998351084606317	1.42408151125738e-13
OTU367176	0.918307798093256	0.740433332996191	0.0454999867095698	0.808048312451273	4.21932531400924e-20	0.225084005049996	0.998351084606317	7.27963842756533e-20
OTU2714942	0.717041126809483	0.687308680948827	0.922979729308307	0.798589690759895	3.98204683757798e-16	0.999999461192889	0.998351084606317	6.14059084746508e-16
OTU549635	0.34554847195367	0.291626487520349	0.679339140425115	0.517256070960848	4.56588221877699e-22	0.999999461192889	0.998351084606317	8.36828905015193e-22
OTU175535	0.241553234689339	0.243943907091818	0.997813969180174	0.900275049132786	4.70616487617265e-12	0.999999461192889	0.998351084606317	6.60991498939827e-12
OTU175241	1.63949230899589	1.86202090550557	0.0184462405979335	0.347980972145836	3.09026840923771e-18	0.105758446094819	0.998351084606317	5.05105275077158e-18
OTU179297	0.428352728319562	0.444720096836201	0.967768224000491	0.342158854494167	4.42123877694594e-38	0.999999461192889	0.998351084606317	1.89384864085271e-37
OTU364736	0.883438267667653	0.979551131559976	0.55369412478297	0.597559243922796	1.68205571249309e-37	0.999999461192889	0.998351084606317	6.69230706963442e-37
OTU196787	0.174653028222148	0.163506097436422	0.93365447329955	0.583978708904718	3.09377331847533e-05	0.999999461192889	0.998351084606317	3.5222388697102e-05
OTU316201	1.37369249122992	1.34373640408022	0.849991226500885	0.972074932198964	6.06382053705252e-10	0.999999461192889	0.998351084606317	7.93835053913901e-10
OTU183603	1.0730913918932	1.28210965404025	0.181196345670076	0.374399026550495	3.1198999808408e-25	0.590604998423164	0.998351084606317	6.43551324461256e-25
OTU149909	0.38037601226401	0.392993780357288	0.983744375994549	0.612985767095626	3.22681941884969e-48	0.999999461192889	0.998351084606317	4.07531138787218e-47
OTU209760	0.243161081456607	0.340556327434838	0.120243973317762	0.987386496721558	7.37941432401452e-29	0.449607900231632	0.998351084606317	1.78189745448126e-28
OTU505626	0.0291645893964445	0.691388452382841	5.19271611399755e-23	0.29701581856885	0.2852780852404	2.23286792901895e-21	0.998351084606317	0.287075516920583
OTU318079	0.159365542452448	0.209911252308112	0.357355995116035	0.234331697656963	7.01983450013523e-20	0.880008816166801	0.998351084606317	1.19454717977948e-19
OTU185730	0.9148287795529	0.973529081041233	0.873226069175565	0.887485311306677	3.83133603977423e-56	0.999999461192889	0.998351084606317	1.52979774730985e-54
OTU809643	0.397572404347968	0.459056915631378	0.564307151780923	0.529144020241764	7.29976957957746e-05	0.999999461192889	0.998351084606317	8.19391806221647e-05
OTU1077373	0.104837583338822	1.23452110511166	1.95460022979205e-34	0.256501672014995	0.0110785525729191	1.68095619762116e-32	0.998351084606317	0.0115216946758359
OTU1139897	0.540834292101819	0.717512297787802	0.113236048022567	0.83828225672167	4.81103443566534e-38	0.430605107786495	0.998351084606317	2.05295286224193e-37
OTU176230	1.332274525212	1.41658079540176	0.766343611746998	0.627401250986759	8.18726851527149e-48	0.999999461192889	0.998351084606317	9.53475645840992e-47
OTU986574	0.042184942959318	0.576835991616278	8.9978261824958e-17	0.40490240449731	0.000140788635008954	2.64725517685008e-15	0.998351084606317	0.000156618600935334
OTU174588	1.15451805233302	1.22010455763329	0.81084361590513	0.47322334386812	1.75931712096828e-37	0.999999461192889	0.998351084606317	6.9748813519239e-37
OTU197649	0.793939084645039	0.754031879375415	0.912908309678136	0.163964695296943	2.55782526331514e-32	0.999999461192889	0.998351084606317	7.44700167808939e-32
OTU175184	0.136185714386391	0.166341928291547	0.529802695186368	0.993828753349112	0.000164790685911895	0.999999461192889	0.998351084606317	0.000182773796477677
OTU175180	2.03344822843614	2.0944049023641	0.73172813764203	0.861470805762004	8.22607685198688e-19	0.999999461192889	0.998351084606317	1.36046655629014e-18
OTU179601	0.895063226373982	0.974822683751917	0.694200173832649	0.614231408386077	1.37511756241651e-36	0.999999461192889	0.998351084606317	5.0738661213916e-36
OTU312586	1.97672397230798	1.78817174974577	0.173451538052869	0.840485238956182	2.96506580253307e-19	0.573707055092923	0.998351084606317	4.94030337888521e-19
