Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Geodermatophilaceae	0.11708773141115	0.102520839074411	0.0501713787930516	0.465673245425488	0.938987482519693	0.435494274925617	0.685265626271847	0.102219102656489	0.336866681681404	0.487388578113723	0.999987044159195	0.523617758859375	0.782732067919568	0.973024055298911	0.400276880586139
Nocardiaceae	0.312496621269627	0.335828792488142	0	0.00252810035561749	0.945002959830568	0.0024447410193551	0.00564172107140115	0.848086905262347	3.95971323100718e-09	0.00699556536759909	0.999987044159195	0.00823062809849551	0.019204556772933	0.99425665600923	5.71330051902465e-08
Rhodospirillaceae	0.568949840525649	0.621760475290867	0.0704053671341408	2.28755971606153e-05	0.814031533555026	2.95473180663697e-05	7.39892898476979e-05	0.186470366496113	2.6656694227179e-12	0.00011848386221652	0.999987044159195	0.000170530235697334	0.000415162126367638	0.973024055298911	1.79488407796339e-10
Bacillaceae	1.44241811795509	2.56508939432309	1.64547757938884	4.60714645336886e-20	1.54321000422897e-14	0.247283254187787	1.4393696790016e-08	0.0542897217322067	0.76532787955057	7.75536319650425e-19	3.01636493560409e-12	0.389421319347141	1.32160306890147e-07	0.973024055298911	0.835655306320082
Veillonellaceae	1.20421137263648	1.14985417180691	0.118233161850578	4.19366696405081e-09	0.908483648747152	2.10597328464956e-09	7.96694686777677e-07	0.733940670661934	0.000109486076875824	3.25815664130102e-08	0.999987044159195	2.12703301749606e-08	5.74758309746753e-06	0.99425665600923	0.000345565430139319
Sanguibacteraceae	0.0259325390272434	0.091593469426229	0	0.0442620875559719	0.0646976534382097	0.758218689872226	0.0827559819980063	0.820157757539583	0.00322561090434519	0.084348506474588	0.544538583104931	0.832392257359726	0.157704795882993	0.99425665600923	0.00700616562019063
Coriobacteriaceae	2.25293085657805	1.98611867092586	0.631800007424401	1.78964217594474e-18	0.0774630311419827	2.38697950294409e-14	1.39332989590457e-11	0.0964689145228681	1.24946891792794e-05	2.78082861185259e-17	0.562260917577297	4.01808216328921e-13	1.87635092648482e-10	0.973024055298911	4.94887689061654e-05
Erysipelotrichaceae	1.64202430080606	1.57569945634243	0.319243477490286	4.43093964676068e-17	0.805556023123731	2.80886425230165e-14	7.34856619999391e-13	0.316029477166573	6.05983392802248e-05	5.59406130403536e-16	0.999987044159195	4.02181991413878e-13	1.14185413261444e-11	0.994075937629942	0.000200669910403367
Pseudomonadaceae	0.882155047904936	1.11131995007511	0.938000140349149	0.0207057267063029	0.0149652321479331	0.848388751777293	0.314114814999752	0.150054955393204	8.86280730824557e-08	0.0454625738551434	0.167943160771249	0.901971199257964	0.450850730142704	0.973024055298911	7.45952948444002e-07
Carnobacteriaceae	0.0700309216673769	0.0922717359627284	0	0.171829274706708	0.79150549077216	0.236050728969209	0.158072309967354	0.829926295867824	0.999900353983238	0.23294975497151	0.999987044159195	0.37545076576205	0.270598361130556	0.99425665600923	0.999990270309477
Hydrogenophilaceae	0.135482032833448	0.136866264581292	0	0.093850728971795	0.999576536022779	0.0827338758820447	0.150749346247747	0.186378496108582	0.0065490834035558	0.145829594248481	0.999987044159195	0.16881053462801	0.26026810206876	0.973024055298911	0.0126110308686845
Fibrobacteraceae	0.100536310684077	0.110122697573074	0	0.104381379757814	0.967086111421005	0.10360819055266	0.133168894381306	0.245664489209131	0.0056708171722773	0.157351035157301	0.999987044159195	0.204745424001927	0.233914057956729	0.973024055298911	0.0112304418509805
Streptosporangiaceae	0.0799875026723939	0.097919276383523	0	0.224663420175779	0.896832679941791	0.259558369290417	0.224955249649331	0.0976771417114888	0.0045909889989527	0.280135869601897	0.999987044159195	0.397202959065637	0.352255507202828	0.973024055298911	0.00946305895702496
Geobacteraceae	0.597084156172696	0.61357969559667	0.129662946016554	0.000138850538667686	0.980554409965028	0.000115507460122344	0.000671078084323984	0.916365511982493	3.39630724999541e-09	0.000560956176217451	0.999987044159195	0.000542616440574731	0.00322756602460583	0.99425665600923	5.27733895768517e-08
Phycisphaeraceae	0.137786830952694	0.1070191239523	0	0.0853666481578613	0.806356983220753	0.0704420149471627	0.300700660870542	0.860078641075205	0.00333723704203916	0.140195633560065	0.999987044159195	0.148221739784655	0.441815648838064	0.99425665600923	0.00717150938821182
Pseudonocardiaceae	0.283964962704016	0.278085239931371	0.0501713787930516	0.0254855296996546	0.995930609985315	0.0202049687089781	0.0624356284593901	0.988661424751196	1.18320647881306e-05	0.054190284203476	0.999987044159195	0.052325688195046	0.129860681910175	0.99425665600923	4.78015417440475e-05
Kineosporiaceae	0.039339183939508	0.0441037669521613	0	0.415206754146117	0.979799022858258	0.419046786044629	0.445455641439774	0.914993351745928	0.171063819681064	0.442627932360941	0.999987044159195	0.516142992567164	0.576807945966887	0.99425665600923	0.221505715228045
Waddliaceae	0.0244182095323203	0.0118547620611633	0	0.485704860057381	0.76178592257399	0.52416076904415	0.892964612670797	0.611722582251939	0.420708825204013	0.503140419136364	0.999987044159195	0.607541918979495	0.954385459044978	0.994075937629942	0.488409095926497
Streptococcaceae	2.05321684049202	2.50919850462659	0.51212482149933	6.3747726990374e-18	0.00285176121234432	3.34177130412172e-14	2.94209101525666e-14	0.820345427835196	0.0581076608868208	9.19788632289682e-17	0.0411468403495394	4.21898627145367e-13	5.64740173817055e-13	0.99425665600923	0.0875951305905805
Anaerolineaceae	0.0472570649991007	0.0477351954496004	0	0.376065459052931	0.999830036605492	0.354874287422772	0.456782467618513	0.343902360887139	0.23714816839763	0.415110506714164	0.999987044159195	0.462481329415483	0.57997003279484	0.994075937629942	0.295703271705687
Dermacoccaceae	0.0589033370948011	0.0365582425519643	0	0.366133725316355	0.792985233937707	0.364763924237964	0.74868092846187	0.591789286241628	0.999891107118504	0.406368200625844	0.999987044159195	0.472322517282492	0.82192145407227	0.994075937629942	0.999990270309477
Mycobacteriaceae	0.669751212209907	0.714853385188157	0.390042960750904	0.00318127673839053	0.78920108515024	0.00434694619753584	0.00441876933931928	0.350215655040674	0.0952033514345502	0.00868402569128226	0.999987044159195	0.0139378274905117	0.016228934664409	0.994075937629942	0.134483055872581
Rickettsiaceae	0.188835071039489	0.225877339034482	0.308241930669063	0.23770505294985	0.792659919919692	0.222534138002971	0.586183066823871	0.979411064781586	0.302449011217034	0.292783053023596	0.999987044159195	0.356761078385715	0.700644849103088	0.99425665600923	0.368040363047234
Leptotrichiaceae	0.212291443887807	0.163922101712654	0	0.0151115717688002	0.68020774468982	0.0112833627828577	0.131590758148832	0.266692187529614	0.0181863145406161	0.0346879261056549	0.999987044159195	0.0312224559196884	0.233169589000562	0.994075937629942	0.0316692718724522
Syntrophomonadaceae	0.0786576562807473	0.108132068782415	0	0.165474354151094	0.732536091674284	0.250944840220381	0.146576575130937	0.921355922389305	0.0621367129055588	0.225850132017034	0.999987044159195	0.389929674803976	0.255245415314218	0.99425665600923	0.0925353788309151
Trueperaceae	0.109141906589527	0.0509624657308745	0	0.0312554432208705	0.25005438973192	0.0485683774885957	0.605964054786011	0.151590163893848	0.218174501646275	0.0637737326324833	0.990411504428391	0.107811123656004	0.715817187524995	0.973024055298911	0.277177668758161
Methylophilaceae	0.18503972479755	0.257727244760345	0	0.00878034219603993	0.408809927827241	0.028563682268796	0.00658901498798536	0.0807831156192041	0.00210172143550207	0.0216296234585374	0.999987044159195	0.0703641929060585	0.0218193611077548	0.973024055298911	0.00481638001052509
Desulfurellaceae	0.0579911526749514	0.0773399565051884	0	0.444317523006706	0.890391697112265	0.519852070518345	0.423914781075608	0.551046017795214	0.00160040257388145	0.467459060663305	0.999987044159195	0.606994903148588	0.556044063488784	0.994075937629942	0.00375908511539596
Desulfovibrionaceae	1.21248502425285	1.28271850143769	1.26624957465086	0.694874347933104	0.714639020945719	0.882906193298753	0.991388415615554	0.824349275806844	1.67147449544729e-13	0.705349840615513	0.999987044159195	0.922666259344257	1	0.99425665600923	1.68818924040176e-11
Desulfobulbaceae	0.312659269490949	0.264265992180986	0.0447182510934897	0.00903613965216933	0.758861793077865	0.00626129659620822	0.0754775648751649	0.153598624665962	2.61224447799767e-05	0.0218573020155374	0.999987044159195	0.0189585717582682	0.15095512975033	0.973024055298911	9.53753679779848e-05
Leptospiraceae	0.0237476077330523	0.147873794448433	0.211570853502161	0.000167756076146103	0.00952683980226132	0.00136876745887393	0.550566911382435	0.179679320505849	0.999854670930519	0.000664445634931623	0.120276352503549	0.00493733976236668	0.669966964453324	0.973024055298911	0.999990270309477
Hydrogenothermaceae	0.0800495833372209	0.0537841023642242	0	0.19100099504947	0.743193834805921	0.180315124100227	0.560601788854546	0.108623031517372	0.00393524616700745	0.255036837371249	0.999987044159195	0.306081135027276	0.678093181728253	0.973024055298911	0.00819504871892273
Nocardioidaceae	0.0945760669881052	0.118312582955018	0	0.0959367882015297	0.810880953075591	0.127662755012855	0.0931849466933964	0.581852659185024	0.0540698665796154	0.146380343453595	0.999987044159195	0.238776634375896	0.175919245159496	0.994075937629942	0.0822472209661432
Francisellaceae	0.0546583000871462	0.0508273837508309	0	0.284004558748136	0.989240815149815	0.254335683248813	0.414853176176686	0.291060346328823	0.361363840752015	0.329706441765078	0.999987044159195	0.392181740582138	0.551318036761123	0.994075937629942	0.424392417627367
Jonesiaceae	0.0378354492765378	0	0	0.121971384554119	0.190627503089529	0.348955098118445	1	0.0437910971415407	0.141747458218864	0.174739146666185	0.837103383132281	0.457720323506012	1	0.973024055298911	0.19216769503497
Oscillospiraceae	1.42895352387945	1.47011978934954	0.155727281383381	2.67002783239124e-16	0.921532738012926	2.98649993624167e-14	1.70419234279962e-13	0.513352971334023	3.09302301293239e-10	3.17262130672371e-15	0.999987044159195	4.02181991413878e-13	2.86872377704602e-12	0.994075937629942	7.80988310765428e-09
Verrucomicrobiaceae	1.85962450889462	1.61482646806439	0.632661966377829	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.00295730615910345	0.999987044159195	0.00226594233694433	0.0628823007262665	0.973024055298911	6.3252543905225e-10
