Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU176337	0.661	1.004	0.387	0.705	0.00298486552756159	0.531749038318239	2.37606927268882e-25	0.0219484487815431	0.998351084606317	4.93763094213029e-25
OTU335448	0.335	0.474	0.203	0.365	0.00351751819931361	0.590548640683074	8.17500327852065e-12	0.025371518366662	0.998351084606317	1.13677284395349e-11
OTU178965	0.361	0.831	0.514	0.968	0.182904385671575	0.536106124127303	2.53363753865177e-43	0.592716241103827	0.998351084606317	1.74852269642758e-42
OTU4325096	1.269	1.063	1.321	1.06	0.866111869428198	0.611010897094652	2.13286199574698e-36	0.999999461192889	0.998351084606317	7.69206358466169e-36
OTU157453	0.837	0.863	0.729	0.781	0.361890441833875	0.571012272671703	5.72679670375651e-30	0.886789250377588	0.998351084606317	1.45512698063631e-29
OTU3779973	0.34	0.443	0.313	0.44	0.803707980946147	0.627248035761551	3.82246267557746e-08	0.999999461192889	0.998351084606317	4.76954606171384e-08
OTU369079	0.447	0.558	0.358	0.504	0.191724643888326	0.873863481116142	1.38685550730588e-08	0.60601327588779	0.998351084606317	1.75794156141494e-08
OTU180082	2.587	1.169	2.517	1.097	0.794101835354809	0.701150259861441	1.82423948101044e-42	0.999999461192889	0.998351084606317	1.15880667032368e-41
OTU2617854	0.961	1.108	0.739	0.884	0.0559655905851988	0.621876351444628	2.51436618872579e-35	0.260706376142718	0.998351084606317	8.49263262536385e-35
OTU4387453	0.743	0.86	0.771	0.882	0.941914062059358	0.223721385947371	9.86014405332257e-19	0.999999461192889	0.998351084606317	1.6283073931484e-18
OTU195883	0.21	0.407	0.193	0.368	0.890451734590915	0.287688933718259	4.42000097241219e-08	0.999999461192889	0.998351084606317	5.50898671923839e-08
OTU4331723	0.834	0.618	0.725	0.605	0.156330232791148	0.781910000246668	3.32967627307975e-11	0.536126381167187	0.998351084606317	4.54527237277553e-11
OTU177217	0.967	0.92	1.122	0.992	0.20740405063591	0.257524921316602	1.27506701773572e-31	0.635281448249172	0.998351084606317	3.56381231457134e-31
OTU328105	0.103	0.238	0.144	0.25	0.186576745413807	0.526823073071573	0.202599914386152	0.599404601645508	0.998351084606317	0.204613102333982
OTU366727	0.81	1.076	0.81	0.947	0.999995560690388	0.228048852836769	2.72906032310735e-42	0.999999461192889	0.998351084606317	1.63159863167594e-41
OTU182799	1.456	1.132	1.282	0.992	0.205116131294205	0.282523992560047	7.85961287678331e-19	0.633480206593705	0.998351084606317	1.30178476981389e-18
OTU188887	1.334	0.731	1.376	0.728	0.824001922278106	0.869625508653746	4.6317470714879e-23	0.999999461192889	0.998351084606317	8.83667785993766e-23
OTU364341	0.518	0.917	0.493	0.884	0.954704615932039	0.752858218404885	8.6615323802459e-79	0.999999461192889	0.998351084606317	9.68359320111491e-76
OTU183147	0.293	0.6	0.353	0.648	0.578735174531272	0.917420320575053	5.59325054701648e-26	0.999999461192889	0.998351084606317	1.19182706038618e-25
OTU174279	0.828	0.96	0.86	0.955	0.93529894431068	0.299354741870746	5.67079432419067e-37	0.999999461192889	0.998351084606317	2.14946585198396e-36
OTU178557	0.312	0.594	0.294	0.598	0.944562031198866	0.741904018330939	1.68961448530466e-48	0.999999461192889	0.998351084606317	2.27589035490435e-47
OTU360518	1.082	1.182	0.92	1.065	0.29321413001887	0.317976874850618	1.88535012295685e-42	0.790184315551881	0.998351084606317	1.19085956918969e-41
OTU180659	0.507	0.669	0.435	0.69	0.517183991979874	0.304669229066276	3.61352096594605e-25	0.999999461192889	0.998351084606317	7.41269071546363e-25
