Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Spiroplasma	0.0758696954493111	0.0771036510458987	0	0.267303483379389	0.999407913796094	0.248689852454362	0.344334449311132	0.677756929446155	0.0801826380536215	0.374731966597903	0.999997462702707	0.499465484715807	0.58624029661199	0.973603481291872	0.147733764633042
Gramella	0.0397194446633477	0.0696427608986442	0	0.270319561806606	0.568184287569748	0.533594860051731	0.24286855813884	0.365605622702197	0.0335590660047192	0.375793085922362	0.999997462702707	0.720423197462319	0.481023331685545	0.968883404849752	0.0722191100421556
Leptospira	0.0113698962287018	0.0525165766523536	0.211570853502161	5.05290194793472e-05	0.461856715002005	2.85607390176912e-05	0.00584576914994961	0.477869323414106	0.999887637039966	0.000418224807382905	0.999997462702707	0.000295493799836882	0.0343834429565955	0.973603481291872	0.999992249420043
Cellvibrio	0	0.0274471605165025	0	0.0165262556259365	0.0133854425364313	1	0.127400294394194	0.85505576124979	0.00776950281242678	0.0562729463718596	0.184650463707693	1	0.311551629018529	0.97635184755658	0.0191742775829615
Fusobacterium	0.137588451180347	0.321471920405318	0.0442495621236677	0.0206922331941941	0.0424380663688454	0.589491376956174	0.0353091742749	0.262459246367356	0.000620339160042286	0.0678806186492464	0.415053366544414	0.748624377252415	0.139678939411001	0.968883404849752	0.00252835203108144
Ethanoligenens	0.748287149975629	0.75446807351058	0.0667594681662236	1.28419096861906e-07	0.997530060959444	9.29513723768594e-08	3.41132875503192e-06	0.418239167110559	1.27512769542183e-09	1.38178948223411e-06	0.999997462702707	1.1629729846221e-06	4.1711247050163e-05	0.973603481291872	5.71682250114121e-08
Kosmotoga	0.0229701301815513	0.0123489501932742	0	0.537579878358271	0.81996360732715	0.558003986173508	0.882257360174759	0.783118441910082	0.0919810105115195	0.590522927404325	0.999997462702707	0.734140510176489	1	0.97635184755658	0.163319418003952
Alicyclobacillus	0.137260313637083	0.268878684227711	0	0.000920757558969329	0.0219922489949673	0.0705131444669505	0.000759742735918056	0.336462799109685	0.00218525333678932	0.00516007882005728	0.257213694767226	0.224473797178813	0.00592379118730311	0.968883404849752	0.00695660529699796
Corynebacterium	0.622611050236626	0.752632633868964	0.105006885321464	1.16855760290712e-06	0.268913536686236	7.29795522880217e-06	1.39585833858202e-06	0.46124697271861	4.21289361551459e-05	1.16422961178524e-05	0.999997462702707	8.35382960233099e-05	1.78802806227888e-05	0.973603481291872	0.000273076718692392
Nocardiopsis	0.0906913610302926	0.133689754521912	0	0.0991726139915982	0.566674960924333	0.20658272047523	0.0814221832040227	0.381376233253434	0.000914883087508179	0.205326990195639	0.999997462702707	0.44996560168289	0.234252056490718	0.968883404849752	0.00354105828114676
Terriglobus	0.113407124271725	0.103393086961245	0	0.124898958350641	0.971766188319312	0.104110305230073	0.245876238315102	0.60314802559026	0.139669246984812	0.236604364762834	0.999997462702707	0.294796548493574	0.481023331685545	0.973603481291872	0.229091630725089
Candidatus_Solibacter	0.0833346493461246	0.0587323415640638	0	0.135190471095313	0.743521069172012	0.121964169598552	0.45672918315742	0.136836802711137	0.911300240449224	0.248233697779107	0.999997462702707	0.33018067950249	0.681373525382897	0.968883404849752	0.999992249420043
Haliscomenobacter	0.387131211726416	0.247025616906373	0	0.0001717617188416	0.147468465982552	0.00018122278192767	0.0638573136390505	0.849822527707631	4.01737469491809e-05	0.00117603093782894	0.844021645729925	0.00152340401057948	0.201363226620484	0.97635184755658	0.000263578973886089
Janthinobacterium	0.0192046100637871	0	0	0.353621144081881	0.440405235335194	0.594988246515439	1	0.303140624829245	0.999970748387209	0.451895903838604	0.999997462702707	0.753185121471309	1	0.968883404849752	0.999992249420043
Mesorhizobium	0.156757697298806	0.205599280929862	0	0.032580769056426	0.640988104075479	0.0597275495525215	0.0285620066712404	0.833236335364076	0.00134809367358585	0.0952633356106368	0.999997462702707	0.204671475536666	0.11820276607021	0.97635184755658	0.00481942851184574
Phenylobacterium	0.0730047705000193	0.0745381761650343	0	0.243194732810665	0.998943774275535	0.226000815995503	0.316563771641736	0.664059245146095	0.0011015189077657	0.366495143563411	0.999997462702707	0.475354118524177	0.560234569550177	0.973603481291872	0.00417336036885878
Candidatus_Carsonella	0.342741539700003	0.714323743930452	1.14846799886787	4.18513281899835e-16	2.50432562864944e-06	3.76365605347928e-14	0.000192793989818862	0.806093027296264	0.330906446097539	8.66000560238889e-15	0.000168415898526675	8.43686231988272e-13	0.00178833045728531	0.97635184755658	0.470972666667925
Citrobacter	0.214048544231351	0.38380328366694	0.0867351011592335	0.015804912529195	0.0588345333361672	0.358687858293304	0.018349492685243	0.826973731553054	0.00236276560469559	0.0554769004613885	0.51053191830416	0.589466062876179	0.087363071368679	0.97635184755658	0.00739051101933854
Coraliomargarita	0.0876562389703552	0.0775098576545151	0.0501713787930516	0.80069932980548	0.972672079873895	0.788125253277808	0.910494104942208	0.185927471094721	0.0640418140951385	0.810545522146701	0.999997462702707	0.891520788318349	1	0.968883404849752	0.123937035910736
Thermobacillus	0.210146029627428	0.192756986959304	0	0.0159497676220633	0.950542066402561	0.0115643190483702	0.0595159844755517	0.496972047813549	5.09682698554087e-05	0.0554769004613885	0.999997462702707	0.056050483315524	0.1977582693968	0.973603481291872	0.000315183094048389
Lactobacillus	0.93124779204989	1.00821300291801	0.133576878951477	7.00345401138715e-08	0.75850169194451	1.06383010511912e-07	5.18173759456175e-07	0.619816359278595	0.000295349402711634	7.84970470442977e-07	0.999997462702707	1.30077408307747e-06	7.53452655641682e-06	0.973603481291872	0.00138519706665894
Caulobacter	0.218118703638252	0.25721208369819	0	0.0177716833191941	0.819259535590703	0.0230715254410254	0.0208506968913832	0.339385788835926	3.49191725614357e-07	0.0595968571989439	0.999997462702707	0.102582485018774	0.0950650417590183	0.968883404849752	4.94381969422432e-06
Thermus	0.514213770994282	1.47573346899177	0.645046253229174	1.14333617989748e-16	3.00870439673417e-14	0.540129454230497	1.34537425866554e-07	0.0896069655885953	0.353893378100166	2.56297860327018e-15	5.94313487312093e-12	0.722859816855739	2.12885691518254e-06	0.968883404849752	0.498415281198664
Bifidobacterium	1.92921898780842	1.81858745379844	0.347531132303426	6.11233442378858e-14	0.72423137265057	5.55111512312578e-14	3.69532293653663e-10	0.316193020285236	1.70175635601634e-05	1.02763622499945e-12	0.999997462702707	1.14865382163141e-12	8.28368224940294e-09	0.968883404849752	0.000136648495453252
Glaciecola	0.033282771419105	0.0624227808547429	0.0881301013400635	0.367841822729227	0.673484953141516	0.415180137447132	0.865965878439193	0.0855074615226096	0.999894265375643	0.462380608944683	0.999997462702707	0.63615971658848	0.989149984289354	0.968883404849752	0.999992249420043
Psychromonas	0.0304521168012116	0.0296822367161196	0.0280178735391477	0.99537759965645	0.999230015136865	0.995152424243745	0.998322099056097	0.0809620238790688	0.0334033484875409	0.99537759965645	0.999997462702707	1	1	0.968883404849752	0.0721726967321165
Anaerobaculum	0.0197119153218431	0.0540499093119596	0	0.170204967605149	0.251440753409	0.747860797933978	0.203524808926574	0.579910749162235	0.0888387929397435	0.294438175471288	0.999997462702707	0.8615612618597	0.436240427101581	0.973603481291872	0.158788274423861
Candidatus_Blochmannia	0.00230978262041232	0.0441685291063444	0	0.096420604695361	0.0876705787707872	0.995209188021726	0.278022527884856	0.297962449237318	0.999951379264097	0.203428569906291	0.65509404692616	1	0.519361527784906	0.968883404849752	0.999992249420043
Thermovirga	0.0218986582781057	0.0449124533166448	0	0.34742198759508	0.540146497352081	0.702618084066221	0.336686637957346	0.886824359647596	0.999972328490087	0.447160357239601	0.999997462702707	0.836302055813334	0.578788683938389	0.97635184755658	0.999992249420043
Selenomonas	0.644044596152458	0.687299703647037	0	1.43882442181958e-08	0.859254559425292	1.7293548704167e-08	2.08996777550929e-07	0.903590683968482	1.17137210539669e-11	1.64699476369986e-07	0.999997462702707	2.38562287252355e-07	3.21257903778286e-06	0.982250651926585	9.62655406534967e-10
Tepidanaerobacter	0.0640988036123405	0.0732411799898254	0	0.290170753007197	0.961500840555311	0.300467312204978	0.31317531037418	0.816272298024064	0.704589232413855	0.393228879390106	0.999997462702707	0.542454409282813	0.556067052743593	0.97635184755658	0.87142300468656
Akkermansia	1.85962450889462	1.61482646806439	0.632661966377829	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.00488300820920858	0.999997462702707	0.00402335636064703	0.105846477048229	0.968883404849752	9.62655406534967e-10
Psychroflexus	0.0963193170949898	0.0771171524377205	0	0.113465159854417	0.858678143080668	0.0942473423918787	0.321725406662536	0.0673924444721686	0.0526062949534815	0.226089837043245	0.999997462702707	0.2726079043378	0.565647937204067	0.968883404849752	0.105605174197661
Halanaerobium	0.0683698253255619	0.0578920174595505	0	0.214800260781412	0.938233983705121	0.185810397715173	0.406723125734284	0.288230799774058	0.538872100742863	0.338893080059823	0.999997462702707	0.430887905046393	0.649478088887114	0.968883404849752	0.698586000481109
Desulfocapsa	0.0373559574332218	0.0220775326830264	0	0.524434357372431	0.844466380208596	0.530209127375857	0.848172793501371	0.194438823692235	0.783442736608044	0.586134658906837	0.999997462702707	0.720423197462319	0.97712411756689	0.968883404849752	0.953602245011601
Ramlibacter	0.0869175624790089	0.0857317426663739	0	0.128220773543821	0.999339239515271	0.11211706803262	0.205160357175724	0.746760487427253	0.457685859000918	0.239523528356166	0.999997462702707	0.310922590729636	0.436544521720513	0.97635184755658	0.614052349482528
Mahella	0.115446978755623	0.152159105103804	0	0.0865209677129068	0.721165786075498	0.134921906207493	0.0775395213651685	0.293323808927701	0.0263209623302417	0.193146392653709	0.999997462702707	0.349096807596589	0.229210233486048	0.968883404849752	0.0577986846272246
Acidithiobacillus	0.0792921217987149	0.22733280094092	0.0501713787930516	0.000757521040340841	0.000939221591203965	0.833011290673272	0.00855616004364701	0.215470629274618	0.682402240416907	0.00438221849143411	0.0222870113613221	0.909046804020731	0.0455763772621989	0.968883404849752	0.847880843751261
Verminephrobacter	0.0703801117734447	0.183680266264753	0.960153246842729	1.07571095302651e-34	0.0196746579405391	1.66533453693773e-15	2.1094237467878e-15	0.801697535621992	0.99986045111219	1.15746498545652e-32	0.235221466044668	8.95949980872501e-14	3.13582493305375e-13	0.97635184755658	0.999992249420043
Natranaerobius	0.0225025585573374	0	0.0351516110313809	0.476116316851232	0.557455291536783	0.889474715555048	0.514471491213387	0.520461825929302	0.99992687474141	0.547330295867441	0.999997462702707	0.948842246325236	0.734179475524674	0.973603481291872	0.999992249420043
Oscillibacter	1.42895352387945	1.47011978934954	0.155727281383381	2.67002783239124e-16	0.921532738012926	2.98649993624167e-14	1.70419234279962e-13	0.513352971334023	3.09302301293239e-10	5.74589989530595e-15	0.999997462702707	7.19356941164298e-13	5.09364155792329e-12	0.973603481291872	1.66404638095762e-08
Bibersteinia	0.182451284480876	0.13764828335936	0	0.039033630450287	0.710225012840588	0.0313395748263458	0.225845041895433	0.364915245001376	0.00529271201320575	0.107692785550022	0.999997462702707	0.1277325095195	0.464459812714747	0.968883404849752	0.0143089400156015
Thermincola	0.0659960811438459	0.095487460099897	0	0.103741934652066	0.59941852413325	0.202232203444738	0.0862165477930665	0.764019949424293	0.00716546496952183	0.213172868034081	0.999997462702707	0.44590543218553	0.239095374807576	0.97635184755658	0.0180141128673025
Pseudoalteromonas	0.017110018352415	0.0569640834536103	0	0.0792252446098834	0.112925740457823	0.771798289976776	0.124836858704562	0.0229672776801617	0.941554748919174	0.18215034871845	0.731976486341067	0.879719237304037	0.307892396984406	0.968883404849752	0.999992249420043
Singulisphaera	0.105489917594514	0.122713058944572	0	0.126677096741911	0.918607926054042	0.139604536890963	0.139525422046474	0.186464823539526	0.0444921837221688	0.237994679061797	0.999997462702707	0.352616154212855	0.327663501671004	0.968883404849752	0.0910934957647391
Desulfotalea	0.0340107328558377	0.0283751886660085	0	0.471326794142277	0.964421922520779	0.438046269084451	0.652741249394284	0.802302852456233	0.00211333421083088	0.54532003279257	0.999997462702707	0.649270025243598	0.836430712020903	0.97635184755658	0.00683636413303974
Pectobacterium	0.1395698389566	0.156320216673553	0	0.0845267401237499	0.944592738332267	0.0877067078631765	0.104250659721143	0.297314300805015	0.0739955064971967	0.191142155096308	0.999997462702707	0.259264883683456	0.274935563382229	0.968883404849752	0.138709346674188
Fibrobacter	0.100536310684077	0.110122697573074	0	0.104381379757814	0.967086111421005	0.10360819055266	0.133168894381306	0.245664489209131	0.0056708171722773	0.213172868034081	0.999997462702707	0.294796548493574	0.321277422319025	0.968883404849752	0.0150290622595329
Methylovorus	0.0355344677316691	0.0311692071745517	0	0.432728706211734	0.978038357733285	0.398729418000499	0.591430168708025	0.3602778582812	0.0188394439392164	0.512793048330205	0.999997462702707	0.627625832674539	0.79280244952713	0.968883404849752	0.0429475459292305
Kribbella	0.0354292962388607	0.0299159607223254	0	0.411524702773257	0.962926897331909	0.377426024808245	0.596827268356362	0.20398107005553	0.99995147462599	0.499701851200617	0.999997462702707	0.607949704631245	0.793208422079985	0.968883404849752	0.999992249420043
Alcanivorax	0.0513024456141785	0.0787742270867922	0	0.213964849319772	0.640351784469789	0.377086523274852	0.185128762838374	0.162127566052135	0.999934804895376	0.338567908629521	0.999997462702707	0.607949704631245	0.414996976696021	0.968883404849752	0.999992249420043
Aromatoleum	0.107826278629604	0.0569416069402476	0	0.0936011832411738	0.455186664459598	0.111195971191626	0.630402697047499	0.243523832274577	0.00266649451150113	0.202777880268376	0.999997462702707	0.309965971508264	0.819218963796025	0.968883404849752	0.00815098890447505
Ruminiclostridium	2.12454049334074	2.12336606642258	0.546309127567283	4.02792728467403e-11	0.999973192648357	2.7887137044047e-11	6.80487965976084e-09	0.787464422014503	8.62119614512362e-08	6.1914996547275e-10	0.999997462702707	4.6885249155304e-10	1.30750902033976e-07	0.97635184755658	1.49619468583113e-06
Comamonas	0.119931508627228	0.0493904485732708	0	0.0212350881013481	0.170966081191837	0.0418352513886687	0.663693800592791	0.624657292970405	0.0376133039078402	0.0688221530031645	0.910690610705035	0.156301147549332	0.846130959049577	0.973603481291872	0.0793566960879139
Tannerella	1.30926106976956	1.01644977276863	0.164754846754253	1.32326337656967e-13	0.0189597800406398	1.08246744900953e-13	6.89862500125038e-07	0.569410191724899	3.73450927461078e-08	2.15732029271056e-12	0.231826401406005	2.15691662061898e-12	9.38266079397176e-06	0.973603481291872	7.44135551755778e-07
Planctomyces	0.221479247689193	0.181378686701044	0	0.00940231704284284	0.759672929038746	0.00653253943773879	0.0773742705187301	0.45687369089944	0.00232196604498662	0.036131761207496	0.999997462702707	0.0362320228608605	0.229210233486048	0.973603481291872	0.00730536685498714
Burkholderia	0.634130420340707	0.7143540547914	0.147597912003797	7.71280411531154e-06	0.590744092072936	1.68242620129933e-05	1.63151395073946e-05	0.981630980283395	2.43106479090782e-07	7.15429071385795e-05	0.999997462702707	0.000177479469862556	0.000186756277765496	0.994085461458612	3.63309127085669e-06
